-58	251939	3981	244080
-57	251162	4289	244549
-56	250339	4522	245139
-55	249516	4792	245692
-54	248955	4804	246241
-53	248826	4342	246832
-52	248135	4475	247390
-51	246690	5490	247820
-50	245493	6116	248391
-49	244381	6426	249193
-48	243195	6917	249888
-47	242361	6922	250717
-46	242211	6280	251509
-45	241255	6394	252351
-44	239364	7600	253036
-43	237691	8407	253902
-42	235889	9052	255059
-41	234099	9790	256111
-40	232778	10092	257130
-39	232478	9290	258232
-38	230991	9622	259387
-37	228368	11306	260326
-36	225946	12448	261606
-35	223584	13111	263305
-34	221350	13753	264897
-33	219974	13432	266594
-32	219836	11854	268310
-31	219101	11028	269871
-30	217452	11361	271187
-29	214235	12767	272998
-28	211636	13200	275164
-27	209101	13666	277233
-26	207484	13241	279275
-25	207062	11844	281094
-24	205126	12096	282778
-23	202027	13880	284093
-22	199100	15307	285593
-21	196402	16053	287545
-20	193775	16284	289941
-19	192210	15668	292122
-18	191800	13812	294388
-17	189694	13999	296307
-16	186577	15380	298043
-15	183692	16116	300192
-14	181163	16168	302669
-13	178628	16347	305025
-12	177374	15280	307346
-11	176964	13432	309604
-10	175167	13330	311503
-9	172263	14604	313133
-8	169824	14878	315298
-7	167817	14507	317676
-6	165771	14276	319953
-5	164827	13152	322021
-4	164478	11378	324144
-3	163082	11033	325885
-2	160588	12135	327277
-1	158948	11942	329110
0	157513	11265	331222
1	156171	10705	333124
2	155506	9621	334873
3	155253	8251	336496
4	154377	7745	337878
5	152906	8117	338977
6	151842	7866	340292
7	150916	7214	341870
8	150090	6886	343024
9	149610	6232	344158
10	149494	5293	345213
11	149003	4871	346126
12	148003	5223	346774
13	147308	5084	347608
14	251939	3981	244080
15	251162	4289	244549
16	250339	4522	245139
17	249516	4792	245692
18	248955	4804	246241
19	248826	4342	246832
20	248135	4475	247390
21	246690	5490	247820
22	245493	6116	248391
23	244381	6426	249193
24	243195	6917	249888
25	242361	6922	250717
26	242211	6280	251509
27	241255	6394	252351
28	239364	7600	253036
29	237691	8407	253902
30	235889	9052	255059
31	234099	9790	256111
32	232778	10092	257130
33	232478	9290	258232
34	230991	9622	259387
35	228368	11306	260326
36	225946	12448	261606
37	223584	13111	263305
38	221350	13753	264897
39	219974	13432	266594
40	219836	11854	268310
41	219101	11028	269871
42	217452	11361	271187
43	214235	12767	272998
44	211636	13200	275164
45	209101	13666	277233
46	207484	13241	279275
47	207062	11844	281094
48	205126	12096	282778
49	202027	13880	284093
50	199100	15307	285593
51	196402	16053	287545
52	193775	16284	289941
53	192210	15668	292122
54	191800	13812	294388
55	189694	13999	296307
56	186577	15380	298043
57	183692	16116	300192
58	181163	16168	302669
59	178628	16347	305025
60	177374	15280	307346
61	176964	13432	309604
62	175167	13330	311503
63	172263	14604	313133
64	169824	14878	315298
65	167817	14507	317676
66	165771	14276	319953
67	164827	13152	322021
68	164478	11378	324144
69	163082	11033	325885
70	160588	12135	327277
71	158948	11942	329110
72	157513	11265	331222
73	156171	10705	333124
74	155506	9621	334873
75	155253	8251	336496
76	154377	7745	337878
77	152906	8117	338977
78	151842	7866	340292
79	150916	7214	341870
80	150090	6886	343024
81	149610	6232	344158
82	149494	5293	345213
83	149003	4871	346126
84	148003	5223	346774
85	147308	5084	347608
